Ques,Ans,,
 What is the disadvantage of the spiral model?,"The disadvantage of the spiral model are: It is based on user communication. If the interface is not proper, then the software product which gets created will not be the up to the mark. It demands a vast risk assessment. If the risk assessment is completed correctly, then only the successful product can be obtained.",,
 Name the Evolutionary process Models.,Evolutionary powers models are:Incremental model Spiral model WIN-WIN spiral model Concurrent Development,,
 Define Software Prototyping.,Software prototyping is represented as rapid software development for validating the requirements.,,
 What are the benefits of prototyping?,The benefits of prototyping are: Prototype services as a basis for developing system specification. Design quality can be revised. The system can be managed easily. Development efforts may get decreased. System usability can be upgraded.,,
 What are the prototyping methods in software process?,"The prototyping methods in the software process are: Evolutionary prototyping: In this method of system development, the initial prototype is arranged, and it is then precise through the number of phases to the final stage. Throw-away prototyping: Using this method, a rough practical implementation of the system is produced. The requirement issues can be identified from this implementation. It is then rejected. System is then developed using some various engineering paradigm.",,
 What are the advantages of evolutionary prototyping?,"The advantages of evolutionary prototyping are: Fast delivery of the working system. User is contained while developing the system. The more useful system can be delivered.Specification, design and implementation work in equivalent manner.",,
 What are the various Rapid prototyping techniques?,The various rapid prototyping techniques are: Dynamic high-level language development. Database programming. Component and application assembly.,,
 What are the uses of User-Interface Prototyping?,This prototyping is used to pre-specify the looks and effectively feel of customer interface.,,
 What is the principle of the prototype model?,A prototype is built to quickly determine to the user what the product would look like. The only minimal functionality of the actual product is supported during the prototyping phase.,,
 Define System Context Diagram (SCD)?,"System Context Diagram (SCD): Establish data boundary between System being implemented and Environment in which system operates.Describes all external producers, external consumers, and entities that communicate through the customer interface. ",,
 Define Quality Function Deployment (QFD)?,Quality Function Deployment (QFD) is a method that translates the needs of the user into a technical requirement. It concentrates on maximizing user satisfaction from the software engineering process.,,
 What is Requirement Engineering?,Requirement engineering is the process of establishing services which the user required from the system and constraint under which it operates and is developed.,,
 What is ERD?,Entity Relationship Diagram is the graphical description of the object relationship pair. It is primarily used in the database application.,,
 What is DFD?,Data Flow Diagram depicts the data flow and the transforms which are applied to the data as it moves from input to output.,,
 What is a state transition diagram?,State transition diagram is a collection of states and events. The events cause the operation to change its state. It also describes what actions are to be taken on the occurrence of particular events.,,
 What is Software Quality Assurance?,Software Quality Assurance is a set of auditing and documenting functions that assess the effectiveness and completeness of quality control activities.,,
 What is the use of CMM?,"Software Quality means Conformance to state functional explicitly and performance requirements, explicitly documented development standards, inherent characteristics expected for professionally developed software.",,
 What is coupling?,Coupling is the significant measure of the degree to which classes are linked to one another. Coupling should be kept as low as possible.,,
 What is cohesion?,"Cohesion is the indication of the relative functional strength of a module. It is a natural extension of Information Hiding and Performs a single task, requiring little integration with other components.",,
 Define Refactoring.,Refactoring means changing a software system in a way that does not alter the external behavior of code.,,
 What is Software Architecture?,Software Architecture means the overall structure of the software and how that software provides conceptual integrity for the system.,,
 Define Stamp coupling.,"When a portion of the data structure is passed via the module interface, then it is called as stamp coupling.",,
 Define common coupling.,"When several modules reference a global data area, then the coupling is called common coupling.",,
 Define temporal cohesion.,"When a module contains tasks that are related by the fact that all must be executed within the same period, then it is termed as temporal cohesion.",,
 Define metrics.,Metrics are defined as the degree to which a system component or process possesses a given attribute.,,
 What is COCOMO model?,"Constructive Cost Model is a cost model, which gives the estimate of several staff-months it will take to develop the software product. ",,
 What is the purpose of the timeline chart?,The objective of the timeline chart is to emphasize the scope of the individual task. Hence set of functions are given as input to the timeline chart.,,
 Define Smoke Testing?,Smoke testing is Integration Testing and frequently used when software products are being developed.,,
 What are the benefits of Smoke Testing?,Benefits of doing Smoke Testing are: Integration Risk is minimized. Quality of end-product is improved. Error diagnosis and Correction are simplified. Progress is easy to assess.,,
 What is Equivalence Partition?,"Equivalence Partitions Derives an input domain of a program into classes of data from which test cases are derived. It is a Set of Objects have linked by relationships as Symmetric, Transitive, and Reflexive an equivalence class is present.",,
 What are the steps followed in testing?,"The steps followed in testing are: Unit testing: The individual elements are tested in this type of testing. Module testing: Related group of independent items is tested. Sub-system testing: This is a type of integration testing. Different modules are integrated into a sub-system, and the entire subsystem is tested. System testing: The entire system is tested in this system. Acceptance testing: This type of testing contains testing of the system with user data if the system behaves as per client need, then it is accepted.",,
 Distinguish between Alpha and Beta testing.,Alpha and Beta testings are the two types of acceptance testing. Alpha test: The alpha testing is attesting in which the customer tests the version of complete software under the supervision of the developer. This testing is implement at the developer's site. Beta test: The beta testing is a testing in which the customer tests the version of the software without the developer being present. This testing is performed at the customer's site.,,
 What are the types of Static Testing tools?,"There are the three types of static testing tools. Code-based testing tools: These tools take source code as input and generate test cases. Specialized testing tools: Using this language, the detailed test specification can be written for each test case. Requirement-based testing tools: These tools help in designing as per user requirements.",,
 Define maintenance.,Maintenance is described as the process in which changes are implemented by either modifying the existing system?s architecture or by adding new components to the system.,,
 What are the types of software maintenance?,Types of software maintenance are: Corrective Maintenance: It means the maintenance for correcting the software faults. Adaptive maintenance: It means maintenance for adapting the change in environment. Perfective maintenance: It means modifying or enhancing the system to meet the new requirements.Preventive maintenance: It means changes made to improve future maintainability.,,
 What is CASE Tools?,"CASE Tools stands for Computer-Aided Software Engineering. It is system software that provides automated support for software process activities. It contains program used to support software process operations such as Requirement Analysis, System Modeling. Debugging and Testing.",,
 What is Risk management?,Risk management is the phase of anticipating hurdles in carrying out the original plan and providing alternate methods so that the impact on the anticipated initially outcome is minimal.,,
Explain what is data structure?,"The data structure is nothing but an entity where the data is perfectly aligned and can be manipulated as per the requirement. When we deal with data structure it is not just about one table of data but it is about different data sets and how well they are aligned with each other. Overall, it helps the data to be organized.",,
What are the basic operations performed on various data structures?,The basic operations performed on data structures are as follows: Insertion - Adds a new data element in the data structure. Deletion - Removes a data element in a data structure. Searching - Involves searching for a specified data element in a data structure. Traversal - Processing all data elements present in it. Merging - Combines two similar data structures to form a new data structure of the same type. Sorting - Arranging data elements of a data structure in a specified order.,,
Explain what is a linked list?,"A linked list is nothing but a sequence of nodes. With this sequence, each node is connected to the following node. It forms a chain of data storage.",,
Explain the process of how do you reference all the elements in the one-dimension array in detail?,"To reference all the elements in the one-dimension array, we have to use an indexed loop. With the help of this, it executes from “0” to array size minus one. By following this process the loop counter will be able to refer to all the elements.",,
List out the areas where the data structure is applied?,The data structure is a vital aspect while handling data. The following are specific areas where the data structure is applied: Numerical analysis Operating systems A.I. Database management Statistical analysis The above are few areas where the data structure is applied and not limited to.,,
"What is infix, prefix, and postfix in data structure?","The way to write arithmetic expressions is known as notation. There are three types of notations used in an arithmetic expression, i.e., without changing the essence or output of expression. These notations are: Prefix (Polish) Notation - In this, the operator is prefixed to operands, i.e. ahead of operands. Infix Notation - In this, operators are used in between operands. Postfix (Reverse-Polish) Notation - In this, the operator is postfixed to the operands, i.e., after the operands.",,
Explain the terminology LIFO?,"LIFO stands for Last In First Out. This process describes how the data is accessed, stored, and then retrieved. So the latest data that is stored in the database can be extracted first.",,
Explain what is a binary tree?," It is one type of data structure that has two nodes, has left node and a right node. In a programming language, binary trees are considered to be an extension to the linked list.",,
Define what is a stack?,"The stack is considered as a data structure where the top layer element can be accessed. The data is stored in the stack and every time when data is stored, it pushes the data downwards which enables the users to access the latest data from the top layers.",,
Explain what is multidimensional arrays?,"Multidimensional arrays use multiple indexes in order to store data in the database. In a few scenarios, data cannot be stored using a single dimension index, in these scenarios multidimensional arrays are useful.",,
Explain whether a linked list is considered as a linear or non-linear data structure?,"This is purely determined on the requirement basis, a linked list can be considered as a linear data structure or a non-linear data structure. For example: If the linked list is used on storage, then the linked list is considered as a nonlinear data structure. If linked lists are used against access strategies then they are considered as a linear data structure.",,
Explain how does dynamic memory allocation will help you in managing data?,"A dynamic memory allocation will help you effectively manage your data by allocating structured blocks to have composite structures that can be flexible, i.e. it can expand and can contract based on the need. Also, they are capable of storing simple structured data types.",,
What is FIFO?,"FIFO in data terminology stands as “First in, First Out”. This process defines or depicts how the data is stored inserted and accessed in a queue. Within this process, the data that is inserted at the beginning of the queue will only be extracted or accessed first.",,
Explain what is merge sort and how it is useful?,"A merge sort is nothing but a process where the data is divided and sorted to reach the end goal. Within this process, the adjacent elements are merged and sorted to create bigger elements. These sorted elements are gathered again and made the even bigger list. This process is continuous and repetitive until and unless they have nailed it down to a single sorted list.",,
List out all the advantages of a linked list?,"The important aspect or advantage of a linked list is that it is the perfect data structure where the data can be modified very easily. Also, it doesn’t matter how many elements are available on the linked list.",, 
Explain the main difference between PUSH and a POP?,"The two main activities, i.e. Pushing and Popping applies the way how data is stored and retrieved in an entity. So if you check in detail, a Push is nothing but a process where data is added to the stack.  On the contrary, a Pop is an activity where data is retrieved from the stack. When we discuss data retrieval it only considers the topmost available data.",,
Can you explain with an example how does a variable declaration activity will consume or affect the memory allocation?,"The amount of space or memory is occupied or allocated depends upon the data type of the variables that are declared. So let’s explain the same by considering an example:  Let’s say the variable is declared as an integer type then 32 bits of memory storage is allocated for that particular variable. So based on the data type of the variable, the memory space will be allocated.",,
Define the advantages and disadvantages of the heap compared to a stack?,"The advantages of the heap compared to a stack are listed below: Heap is more flexible when compared to a stack Memory space of the heap can actually be allocated and de-allocated as per the need. On the contrary, the disadvantages of the heap compared to a stack is listed below: The memory of the heap is slower when compared to the memory of the stack.",,
Explain how new data can be inserted into the tree?,"The following are the steps that you need to follow to insert the data into the tree: First of all, check whether the data is unique or not ( i.e. check whether the data that you are going to insert doesn’t already exist in the tree). Then check if the tree is empty. If the tree is empty then all you need to do is just insert a new item into the root.  If the key is smaller than that of a root’s key then insert that data into the root’s left subtree or otherwise, insert the data into the right side of the root’s subtree.",,
Can you tell me the minimum number of nodes that a binary tree can have?,"A binary tree is allowed or can have a minimum of zero nodes. Further, a binary tree can also have 1 or 2 nodes.",,
Explain a little bit about the dynamic data structure?,"The nature of the dynamic data structure is different compared to the standard data structures, the word dynamic data structures means that the data structure is flexible in nature. As per the need, the data structure can be expanded and contracted. Thus it helps the users to manipulate the data without worrying too much about the data structure flexibility.",,
Define what is an array?,"While referring to array the data is stored and utilized based on the index and this number actually co-relates to the element number in the data sequence. So thus making it flexible to access data in any order. Within programming language, an array is considered as a variable having a certain number of indexed elements.",,
Can you tell me the minimum number of queues that are needed to implement a priority queue?,"The minimum number of queues that are needed is two. Out of which, one queue is intended for sorting priorities and the other queue is meant for the actual storage of data.",,
List out all different sorting algorithms that are available and state which sorting algorithm is considered as the fastest?,"The list of all sorting algorithms are below: Quicksort Bubble sort Balloon sort Radix sort Merge sort Out of the above sorting options, none of the sorting algorithms can be tagged as the fastest algorithm, because each of these sorting algorithms is defined for a specific purpose. So based on the data structure and data sets available the sorting algorithms are used.",,
Explain what is a dequeue?,"A de queue is nothing but a double-ended queue. Within this structure, the elements can be inserted or deleted from both sides.",,
Explain the process of how a selection sort works? ,A selection sort is a process where it picks up the smallest number from the entire data setlist and places it at the beginning. The same process is continued where the second position is already filled in. The same process is continued all the way until the list is completed. The selection sort is defined as a simple sort algorithm when compared to others.,,
