Ques,Ans
  How do you handle disappointments?," I have faced my fair share of disappointments at work.My major disappointment has been not winning proposals despite investing an inordinate amount of time developing the proposals.It felt sad losing the contracts to other organizations.I sought to learn how we could overcome our setbacks by attending debriefing meetings with clients to learn how we could improve our proposals in the future.I took copious notes and used this to guide and inform future proposal writing efforts.I also like to read about how successful people who have faced disappointments have overcome them and gone on to excel in their careers and fields.I have learnt that when you become good at dealing with and overcoming disappointments, you in essence position yourself for future success. "
  How do you handle conflict at work?," One of the challenges I faced recently was working with a colleague who often did not copy me on emails regarding projects and deadlines we were collaborating on.Instead he would mention upcoming deadlines during weekly team meetings and by then there would be little time left to meet the deadlines.This caused me anxiety because I did not have a clear picture of pending tasks.Consequently, I could not plan my work well and often was blindsided by urgent deadlines.In those cases I had to drop everything I was working on to meet the deadlines.I decided to schedule a meeting with my colleague to discuss this situation.I mentioned that it was important to include me on relevant email chains so that I could get an early heads up on deadlines.I elaborated that this would help me to prioritize my tasks and deliver high quality work ahead of schedule.My colleague said that he had assumed mentioning upcoming projects and deadlines during the once a week team meeting was sufficient notice.I pointed out that with many other tasks that were on my plate it would be helpful to get an email as soon as a project and deadline was assigned rather than waiting till the team meeting.After the meeting, my colleague started to include me on relevant email chains.I made an effort to thank my colleague each time he cc’d me on an email and eventually we had a smoother working relationship. "
  How do you deal with change?," One day in my previous job as a Financial Coordinator, our Vice President of Finance announced that the company would be purchasing a new Financial Management System.This system would automate the finance and accounting processes and responsibilities and significantly change the way we were used to working.There was nervousness and apprehension within the team over what a new system would do.The VP of Finance invited team members to volunteer in evaluating and watching demos from different software vendors.I volunteered to participate in the evaluation committee and got a chance to ask questions about different aspects of the proposed systems with an aim to seeing which one had the best functions to support our company’s needs.I also watched online videos and tutorials about the different systems.I further contributed in providing suggestions and recommendations for the financial management system which I thought would best serve our needs.After the system was purchased and implementation began, based on the tutorials I had taken, I was able to quickly master the functions of the system.I even trained my colleagues on how to use the new system.The new system made our team more efficient and reduced many manual processes. "
  How do you handle constructive criticism?, I have regular one-on-one weekly meetings with my supervisor where I proactively request for constructive criticisms with an aim of improving my work performance.I welcome constructive feedback because it helps me to take steps to correct and improve upon areas where I fall short of expectations. 
  How would you describe your working style?," My most dominant work style revolves around how I structure and execute my daily tasks, how I interact and collaborate with colleagues and how I support and report back to my boss.I am a great believer in preparing to-do lists at the end of the day so that I can get a head start when I start work in the morning.This gives me an advantage because each morning I have a mental picture of what I will be working on.I can further prioritize my activities based on upcoming deadlines and reorganize my tasks to accommodate emergencies.I also enjoy contributing to team meetings with my colleagues especially brainstorming sessions where we are working on a new idea or solving a problem.I have scheduled a recurring 10 am daily check-in meeting with my boss where I brief her on my priorities for the day, report back on completed tasks for the previous day and inquire about my boss’ priorities for the day. "
  What motivates you?," I am motivated by doing creative and challenging work. As a Licensed Plumber, each maintenance service and repair call differs from the other.I like the process of diagnosing a customer’s problem, recommending an appropriate solution and then getting to work to execute the solution once it is approved by the customer.My greatest satisfaction is when a customer smiles with pleasure from the outstanding job that I have done.I always go above and beyond to deliver high quality service within the shortest amount of time while adhering to building codes.I ensure to leave the work area clean or cleaner than I found it.  !@#@!  Making a true difference in the lives of my patients and their families motivates me to strive for excellence in everything I do. I look forward to seeing my patients’ reaction when we get a positive outcome that will change their lives forever. That’s why I became a nurse and why I’m pursuing a position in pediatrics. "
  Do you prefer working alone or as part of a team?," I like working both independently and as part of a team.There are certain tasks that I function much better when working alone such as planning my work, writing reports, conducting research, doing sales calls and creative writing.I am also able to work well and collaborate with team members in various ways such as getting input from colleagues, getting a second opinion, brainstorming and generally supporting each other in achieving departmental goals.  !@#@! I love working on a team. When I interned with XYZ Company, there were issues with a few fellow interns not getting along. I intervened, organized a social gathering for the group, and it really helped them put their differences aside. We finished the summer on a great note and came up with the best ideas by putting our heads together. At the same time, I enjoy working independently when necessary. In school, I prided myself on never missing an essay deadline. That was because I’m able to put my head down and focus."
  Give examples of your teamwork contributions," I enjoy working in teams. I always enthusiastically offer my support to help in achieving shared goals.For example in one of my roles as an Event Coordinator, our team was tasked with planning a conference in a foreign country.We had a series of planning meetings and I was assigned the role of selecting the best possible conference venue within a limited budget.I started contacting different venues and regularly reported back to the team on the progress made.After numerous phone calls and emails I narrowed down the choice to three venues, presented the choices to the team and outlined the advantages and disadvantages of each.This helped the team in selecting the final venue which turned out to be a positive experience for the conference participants. "
  What major problem have you solved at work?," Two years ago when I was working as a Project Manager at Company XYZ, we received an email from one of our major donors that a final report for a five-year project was due within one week.Instead of writing the five-year report over a typical three month period, I now had only one week to write it.I quickly reorganized my tasks and made the report my highest priority.I swiftly developed a report outline, then reviewed previous progress reports, interviewed program implementers and wrote the report incorporating results and project outcomes achieved.It was a hectic week. After working fast and furiously, I was able to complete and submit the final report on time.This experience helped us to strengthen our project deadlines monitoring system.It turned out later that there was an error made when entering the final report deadline in the system where the wrong year had been keyed-in and we thought the report was due within one year.To prevent the problem from occurring again, I implemented a dual entry control system to ensure that one person keyed in a report due date and another person approved the due date in the system after double-checking the date against the awarded contract terms. "
  What is your biggest mistake at work and what did you learn?," Early on in my career, I was working as an Administrative Coordinator at a local manufacturing company.A few months into the job, my boss and I organized an offsite training workshop for all the departmental staff.We had contracted an international workshop facilitator who came to train our staff for three days.The facilitator used many flip charts where he wrote a myriad of concepts, processes, procedures and solutions that would help our team to be more productive and efficient.Once the workshop was over I was tasked with packing the workshop materials and returning them to the office.I packed up the materials such as projectors, folders, programs, evaluation sheets etc.However, when it came to the flip charts, and there were six flip charts that the instructor had written on, I decided to tear up those flip charts and threw them away because they were bulky and had been used.The next day my boss asked me to transcribe all the materials that were on the flip charts and prepare a report to circulate to all the departmental staff as well as to upload a copy of the report to the company’s intranet.I simply froze upon this request. I then told my boss that I had made a big mistake.I apologized and informed him that I had torn up the flip charts and threw them away at the workshop venue.My boss almost cried. He could not believe what I had done. He told me to figure out a way to correct the situation.I had to go around asking everyone who attended the workshop for their notes.I photocopied as many notes as possible and recreated the facilitator’s notes for the workshop report and for the company’s knowledge library.Since that time I have learnt to be very alert and careful as well as double-check with my manager when in doubt about something. "
  What is the greatest challenge you have faced at work?," One of the greatest challenges that I have faced at work has been situations where I have been left out of the loop of important communication that was necessary to enable me to do my tasks properly.Typically the root of the problem has been a communication issue.To avoid this kind of problem from occurring, I make an effort to early on build relationships with colleagues especially on critical teams where there is great need for collaboration.I do regular meetings and seek to find out what is coming down the pipeline to get advance warning or heads-up.I also follow-up when sufficient time has elapsed and prompt by asking questions such as – I thought we should be doing task x or y right about now, what is the latest status on this?I always thank my colleagues each time they keep me in the loop about upcoming deadlines, assignments and priorities.By expressing appreciation, it helps to nurture these good behaviors. i.e. using positive reinforcement.Sometimes despite your best efforts you just get blindsided and you get hit with a last minute request or deadline that means you have to drop everything you were working on and attend to the emergency. "
  When have you taken initiative at work?," In one of my former jobs as an Operations Director at a non- profit organization, my primary role was setting up new operational systems, processes and procedures that would aid the daily operations and administration of donor-funded projects.In addition to my primary tasks, I decided to develop a website framework that would showcase our department, the projects that we were working on, success stories from the field and upcoming events and announcements.I compiled all the relevant project information, edited it into impactful language, selected the best photographs from a library of hundreds of photos and matched them with relevant articles.I then scheduled time with the organization’s Website Manager and together we developed a fully functioning website for our projects.This became the model for other departments within the organization and they also adopted and replicated the website framework to showcase their work. "
  How would you ensure that customers are happy?," In my role as a Corporate Travel Agent, my job entails booking the most efficient, cost effective and shortest route possible for busy international corporate executives.Whenever I am assigned a new client, I take time to schedule an introductory meeting where I introduce myself.I also learn about the specific executive’s preferred airline carriers, connections, hubs, maximum layover time, cities they would like to connect through or not connect through, airport shuttle preference, average frequency of flights per month, preferred hotels, frequent flyer program etc.I then program this information on a database and each time the executive needs to take a flight, I rapidly customize the entire flight experience based on their preferences and within the customer’s budget.As a result of my attention to detail and personalized customer service, our portfolio of clients has been steadily increasing.Our clients usually refer other executives to our company.Moreover, I consistently get high customer satisfaction ratings from my assigned clients during quarterly customer satisfaction surveys. "
  How do you prioritize tasks?," In my job as a Procurement Specialist my role involves managing critical purchasing deadlines from multiple departments, communicating with hundreds of suppliers and resolving purchasing issues.On a daily basis I write down a to-do list of all my tasks.I write my list on spreadsheets with different tabs for each day.I then go through the list and identify high priority items which have upcoming deadlines.I also have a daily check-in meeting with my boss to learn her priorities and readjust my tasks accordingly.Before working on each task I mentally estimate how long it will take to complete it.When emergencies and unforeseen deadlines arise, I quickly jump to address those and reorganize my priority list accordingly.At the end of each day I review all the tasks completed and prepare a to-do list for the following day. "
  How do you work under pressure?," I am able to work well both under pressure and without pressure.In my job as a Flight Attendant, my primary aim is to offer outstanding service and keep passengers comfortable at all times so that they can enjoy their flights.I am able to remain calm and offer instructions, guidance and reassurance during non-emergency and emergency situations such as directing passengers during evacuation emergencies.I exhibit a pleasant and cordial demeanor even while working in-flight in tight conditions for long periods.Likewise, I work cheerfully during less stressful parts of the job such as greeting and welcoming passengers aboard a flight.One particular flight a few months ago was extra stressful because one of my fellow Flight Attendants became sick during a 10-hour flight and had to rest.As a result we were short-staffed as we attended to hundreds of passengers on the flight and had a heavier than normal workload.I rose to the occasion by responding as fast as I could to requests from passengers while still maintaining a pleasant demeanor.I pushed up the meal serving schedules to ensure that we served all the passengers in a timely manner while attending to their other individualized requests. "
  How do you resolve disagreements with co-workers?," When I encounter a disagreement with a co-worker or when we are not seeing eye-to-eye, I typically aim to resolve it as soon as possible.I would normally find an opportunity to privately speak with my colleague.I then respectfully highlight the issue or problem and listen to my colleague’s point of view.Afterwards we work on finding common ground on how we can move forward amicably.At the back of my mind I usually remind myself to stay calm and avoid being defensive or argumentative. "
  Who are your references?, My three references are two of my former bosses – one at Company X where I worked as a Senior Editor and the other at Company Y where I worked as an Editor and also one colleague who I worked closely with at Company X. 
  What would your references say about you?," My supervisory references would say that I was known for completing multiple production projects and schedules against tight deadlines.They will describe that as a Production Assistant at Company XYZ, I supported a busy production team in filming and editing documentaries and live events.I was also commended by my supervisor for piloting a podcast that quickly took off and became a regularly scheduled program.My supervisors and co-workers would also describe me as an easy going person who gets along easily with colleagues and clients. "
  How would your former boss describe you?," My former boss would describe me as being dependable, meticulous and forward-thinking.I always exhibited a  can-do  attitude and my boss regularly relied on me to push through tasks that others did not like doing.When assigned projects, I ensured that I had as much information as needed and always pushed myself to deliver accurate and high-quality work. My boss rarely had any edits to make on my reports or other documents that I produced.Furthermore, my boss could count on me to not only plan detailed projects but also anticipate challenges and provide well thought out mitigating solutions. "
  How would your former colleagues describe you?," My former colleagues would describe me as reliable, collaborative and committed.Each time I had an individual or group assignment I ensured that I understood the requirements and sought clarification as needed.I then got down to work with zeal and sought others’ input as necessary.I constantly kept my team updated and kept working until the task was done and fed my team with high quality and timely results.Additionally, I always had a history of sharing credit and successes with colleagues. "
  Are you interviewing for any other jobs?," Yes, I am currently interviewing for two other positions and I am very much interested in working with your company.This job is my number one choice and I would be thrilled to offer my skills and talents to support and advance your mission in the position of an Assistant Facilities Manager.  !@#@!  As you know, I would like to work as a software developer. Beyond your company, I have also applied to XYZ company and ABC company. This answer is more specific. "
 What are your salary requirements?," Based on the requirements for the Program Coordinator position and based on my skills, experience and qualifications coupled with the value that I would bring to this job, my salary requirements are $45,000 – $55,000 per year.  !@#@!  I am more interested in the role than the pay, and I expect to be paid appropriate money for this role based on my experience. As you also know that the high cost of living here in Delhi.  !@#@!  As I am fresher, Salary is not an issue for me. Learning and gaining experience is my major priority. As your company is one of the most reputed company, I just accept the salary offered by you is the best in the industry.  !@#@!  As of now, I haven't thought much about it. I am more focused on learning the requirements for this position that I am applying for. "
 When would you be available to start this job?," I would need to give my current employer two-week notice of resignation therefore, the earliest that I would be available to start this job is within two weeks after receiving a job offer. "
  Is there anything else that we should know about you?," Whereas we have covered many points about my skills, experience and qualifications, I would also like to mention that I am an avid fan of ongoing professional development training.I have done at least one certification course each year over the last 5 years.This has equipped me with additional skills such as advanced diagnostics and troubleshooting, workflow scheduling and multi-platform integration.This adds to the portfolio of skills that I will bring to this position as a Systems Programmer. "
  Do you have any questions for me/us?,"Some good questions to ask at the end of an interview include the following:What are the most important skills and qualities required to succeed in this job?What is a typical day or week for someone working on this job?What new innovations, changes, processes, systems, ideas or improvements do you expect the new staff to bring to this position?Is this a new position or a replacement?Who does this job report to and what is the preferred management style of the Supervisor?What do you like the most about this Company?What is the biggest challenge that someone in this position faces?How is performance evaluated or measured for this position?What is the biggest challenge that this organization is facing?Describe the company’s culture.What are the main goals or key priorities for the company for the next 5 years?What is the top priority or task that the new staff would have to accomplish within the first 30, 60 or 90 days?Finally, also listen carefully during the course of an interview.Take some key notes and be able to comment or ask a question about something specific or important that the interviewer had mentioned earlier. This would show your attentiveness and attention to detail.At the very end of an interview, close by saying that you are definitely interested in the job and then ask – What are the next steps in the interviewing process? !@#@! You mentioned there are quite a few opportunities for ongoing professional development at ABC Company. Can you tell me more about these?What would you like to see me accomplish in the first 60 days? By the end of the year?Can you tell me what a typical day looks like in this role? !@#@!  What do you love about working for this company? What would success look like in this role? What are some of the challenges people typically face in this position?  !@#@!  Thank you for giving me this opportunity. After my overall performance till now if I got selected what I need to improve and if I'm not selected how can I succeed further. Can you give any advice sir?  !@#@!  First of all thank you very much, for being so much polite & friendly to me throughout the session, that I can express myself so easily. Can you please tell me that what are the qualities you are expecting from fresher like us & I want to know, if am selected, then what should I improve before I join your company, if I am not selected, your opinion will help me to the upcoming interview. "
What type of work environment do you prefer?,"My ideal work environment is one that really values communication and input from its employees. I know that XYZ Company has Feedback Friday lunches with interested employees once a month, and I really love that. Communication and transparency are really important to me, too."
How do you deal with pressure or stressful situations?,"In stressful situations, I do my best to stay calm and focus on a solution. For example, when I was the features editor at my college newspaper, I had writers fail to make deadline a few times. Instead of panicking, I approached the problem calmly and wrote the articles myself. Later, I sat down with each writer and we came up with a plan so that wouldn’t happen again. In time, I didn’t have to deal with that type of stress again because we’d addressed what caused it."
Who was the most difficult person you ever worked with?,"I had a challenging lab partner last year. He was disorganized, and we kept missing deadlines because he didn’t update me on his progress. Eventually, I insisted on weekly, in-person check-ins to stay on track. He found it annoying at first, but we got the work done, and in the end, we walked away on good terms. !@#@!  It was the first day of my boss’s two-week vacation and our agency’s highest-paying client threatened to leave because he didn’t feel he was getting the personalised service he was promised. I spent my lunch hour on the phone with him talking through his concerns. We even brainstormed ideas for his next campaign. He was so grateful for the personal attention that he signed another six-month contract before my boss even returned from her trip. "
How would your professors/friends/co-workers describe you?,The other members of student council might say that I’m an extremely effective leader as president. They also nicknamed me  Mr. Congeniality  because I get along with everyone. But they’d also say that I sometimes take on too many things at once. I’m trying to delegate more.
What makes you unique?," What makes me unique is my experience of four years in retail. Because I’ve had first-hand experience fielding shoppers’ questions, feedback and complaints, I know what customers want. I know what it takes to create a positive consumer experience through marketing. "
What are you passionate about?," As an experienced, service-oriented professional with more than a decade of experience working in boutique salons, I thrive on creating a welcoming environment for all clients and providing the highest quality skincare services. My specialised training, along with my interpersonal skills, has helped me become adept at developing long-term, trusted relationships that help to build a loyal client base. These relationships are the reason I’m excited to go to work every day. "
What are your goals for the future?, I would like to continue developing my marketing expertise as well as my leadership skills over the next several years. One of the reasons I’m interested in working for a fast-growing start-up company is that I’ll have the ability to wear many hats and collaborate with many different departments. I believe this experience will serve me well in achieving my ultimate goal of leading a marketing department someday. 
Would you like to work overtime or odd hours?," I know that in the company being asked to work for an extended number of hours comes with a good reason, so I am ok with it. It an extra effort means I am doing something for the company, I'll be happy to do it. "
What is more important to you: the money or the work?," Money is always important, but the work is most important for me.  !@#@!  I would say that work is more important. If we work and achieve Company goals then obviously money would follow. I believe work to be prior.  !@#@!  Work is more important for me. Working just for money may not be fulfilled if I don't feel satisfied with my job. My work makes me stay productive, and money would naturally come along well.  !@#@!   I think money probably matters to me about as much as it does to anyone. It's vital and necessary for us to live and prosper but, at the same time, it's not my single most important driving force. I believe that money is rewarded for work. "
"Assume you are hired, then how long would you expect to work for us?"," I will do my best for the growth of your company as long as I have the career growth, job satisfaction, respect and a healthy environment, then I don't need to change my company.  !@#@!  I will work with the company as long as my presence benefits the company and I get ample opportunity to grow and develop both professionally and monetarily.  !@#@!  Everyone looks for a bright future, healthy work environment, good salary, job satisfaction and I am pretty sure that your company gives such things, so I don't need to change the company.  !@#@!  I will work with the company as long as my presence benefits both the company and mine in parallel. So your company gains good results, and I can be in a good position to improve my skills. "
How would you rate yourself on a scale of 1 to 10?,"  I will rate myself 8 out of 10 because I would never like to think that there should be a room left for putting in more efforts. That thought will create an interest in learning the things. Thank you very much for giving me this wonderful opportunity.  !@#@!  I will answer this question based on some parameters. As far as hard work is concerned, I will rate myself as 8 because there should always be a scope to increase our skills which will create an interest in learning the things. When it comes to creativity, I would like to rate myself as 9. In the past, I have designed banners and brochures which were appreciated by the clients. To talk about patience, I will tag myself with 6 because I am an entry-level professional. Same as personal life, even professional life needs more experience for more patience. That is probably why in most companies, senior management looks more patient than entry level or even middle level. Overall, I would rate myself as 8 on a scale of 1 to 10. "
What are your achievements in life?," My greatest achievement so far in my career would probably be winning the Manager of the Year award last year.  !@#@!  My biggest accomplishment is overcoming my fear of failure. It gives me a complete sense of living and makes me more confident.  !@#@!  I experienced my greatest achievement when I worked as a website manager for an entertainment outlet. My team was under pressure and the website was struggling at the time, and I was tasked with forming a strategy to increase traffic. "
What is your objective in life?, My short-term goal is to work in a reputed organization like yours where I can enhance my technical skills and knowledge. My long-term goal is to see the company at a topmost position where I am one of the people responsible for that.  !@#@!  My goal is to become a successful person and make my family proud of me. 
"Explain, how would you be an asset to this organization?"," To become an asset for an organization, we have to punctual, dedicated, quickly adapt of the environment and positive working attitude I have all of these qualities so I will prove an asset for this company.  !@#@!  As I'm a fresher, I'll be passionate about my work, and if given a chance I'll be ready to expose myself into different sectors of work into the industry, and would be faithful to the company always.  !@#@!  My skill in XYZ company is outstanding. I have earned a lot of certificates and awards from my past employers. As an employee, I can handle pressure with ease and can work with minimal supervision. "
Would you lie for the company?," It depends on the situation if my lie creates a positive impact on the company and It was useful for many people, then I will lie.  !@#@!  Probably I would say no for a lie. But if condition persists that my lie will help thousands of persons and it is not giving any impact to other persons, then I will agree with the lie. My one lie results lot of success and happiness without hurting others rights then I expect to do this. "
How do you get to know about our company?, I get to know about your company from several online websites. 
What does success mean to you?," If I feel I am making a difference working with a team of people to make a more profitable company. It is a success for me.  !@#@!  If I put a smile on someone face and make him happy, it is a success for me. "
Describe yourself in one word?," Original, genuine, logical, incredible, focused, curious, active, quick, balanced, achiever, etc. "
What is the difference between confidence and overconfidence?," Confidence is based on facts and knowledge, and overconfidence is based on speculation. There is a small difference between confidence and overconfidence. Yes, I can do this work is self-confidence. But only I can do this work is overconfidence.  !@#@!  confidence is an internal belief that I am a right person for this job and overconfidence is thought that I am only the right person for this job. "
What is the difference between smart work and hard work?," Smart work and hard work are related to each other. Without being a hard worker, we can't be a smart worker. Smart work comes from the hard work. That means everyone has to specialize in his work to become a smart worker. So, all of us have to do hard work to achieve smart work. So hard work increases your accuracy, and smart work increases accuracy as well as efficiency. "
Just imagine that you have enough money to retire right now. Would you?," No sir, I don't think so. I am a professional, and I love my work, so there is no question to leave my work. Yes, it may be that I would take a break to spend quality time with my family. "
Don't you think that you are overqualified for this position?," I think I am qualified for this post because I am just a beginner and have lots more to learn. I think qualification is not only a matter of theoretical knowledge or results; it also depends on practical knowledge and learning. When I get practical knowledge, I will consider myself just a well-qualified not overqualified. Because learning never ends. "
Do you have any blind spot?," I would say everyone has blind spots and I would too that's why I believe in teamwork because when you are a team, you can point out the blind spots of other people, and they will also do the same for you. "
"How do you handle stress, pressure, and anxiety?"," I believe in working in a planned way and finishing my work regularly. I always react to situations, rather than to stress. In this way, I handle the situation and don't take the stress.  !@#@!  I go to the gym regularly and do work out. In this way, I remove my stress. I believe that physical exercise is a great stress reducer. "
What is the disappointment in your life?," The greatest disappointment in my life so far as when my laptop had stolen, and I had lost all my important data. I remember that I had to work hard for the next 10 days to redo all my work to make sure to submit on time.  !@#@!  Sir, I don't feel that I have faced such type of situation. "
What makes you angry?," Sir, I am not a short-tempered person, but I feel a bit of annoyance when someone disturbs me in my work without a genuine reason. Although I am an even-tempered person, when I get angry, I try to channel my negative feeling in my work. "
What was the most difficult decision you have made in your past life?," After completing my graduation, the toughest decision is whether to go for higher studies or do a job. Then I chose the job because getting trained is better than educated and it was also the demand of that time.  !@#@!  My toughest decision was to take admission in B.tech. I belong to a middle-class family, and my father was not in favor of taking admission, but I convinced him, and today he is very happy.  !@#@!  Before some time when I had to choose between joining a group of employees protesting some issue, and staying away from the issue. I ended up being a mediator between our immediate supervisor and employees, and I am glad I made that decision because it all ended well and without further conflicts in the company. "
How did you know about this position/ vacancy?," I have carefully studied both the job description and the person specification, so I am fully aware of the duties and responsibilities of this role. "
What gets you up in the morning?, It is my promise that gets up me in the morning. My promise is to learn something new and someone in need. It provides me the satisfaction that I am making a difference in someone life 
What was the biggest mistake of your life?," I think the worst mistake I ever made at work was in my first ever job - five years ago now. A more senior member of the team seemed to take an instant dislike to me from the start, and one day she was particularly unpleasant to me in front of several colleagues. Later on, I was talking to one of those colleagues who was, I thought, attempting to console me. Angry and hurt, I foolishly vented my feelings and told her what I thought of the lady in question. I was naturally shocked to find out that she went on to tell everyone what I had said and this certainly didn't help my relationship with the team member who was causing me problems. Rather than let the situation carry on, I chose to have a quiet word with this lady to find out what her problem was with me and to see if we could put it behind us. It turned out it was nothing personal; she just resented the fact that a friend of hers had also been interviewed for my position and had been turned down. Once we had got matters out into the air, her behavior changed, and we got on quite well after that. However, I certainly learned a lot from experience. I learned that careful communication is vital in managing interpersonal relationships and that if I have a problem with someone, it's always best to talk it over with them rather than with someone else. "
Do you have any reference?, yes  !@#@!  no 
How do you deal with an angry or irritated customer?," I would try to find out exactly what the problem was, and evaluate if there was something I could do to make it right.  !@#@!  I would ask the customer to explain his problem and carefully listen to him. After that, I do my best to solve his problem. If that problem is not regarding my work area, I spoke to someone who could help him immediately. "
Explain the difference between group and team?," There is only one difference between the group and the team. That is unity. Any set of people who stand together without any purpose or goal can be called as Group. Whereas, when more than 2 people work towards a common goal, can be called as a Team. For example: If you assign work to a group, then the work will be divided between the members and each member will work out their part, without any coordination with the other members of the group. On the other hand, if you assign a project to a team, they will collectively take the responsibility and work together with the goal to achieve the desired result. In a team, the members will cooperate and coordinate with each other at all times. "
What will you do if you don't get this position?," I have high hopes that I will be selected. In case if I will not select, I will continue to look for another job in the same field that will fit my schedule and goals.  !@#@!   If I don't get this job, I will use this experience to reflect my weakness and try my best to improve on them for the future opportunities along the way. "
What is the success for you?, Success refers to the accomplishment of an aim or purpose. 
What makes you happy?, I feel happy when I accomplished my task. I also feel happy when I achieved my goals. Holiday with my family and friends also makes me happy. 
Is there anything which makes you different from other candidates?," Although, I am not familiar with the others whom you are interviewing for this position. I am sure many talented people applying for the job. But because of my background and the problem-solving skills, I considered myself to be a strong candidate for this position.  !@#@!  I understand that success is not always guaranteed but there is still hope, and I never lose the faith, whether I succeed or not. I think this power makes me stand alone from all other candidates.  !@#@!  I have exceptional organizational skills. In my last job, I created a project which was termed as quite creative by the clients. I think my technical skills make me stand alone from all other candidates. "
Describe the three things that are most important for you in a job?," According to me, Honesty, Loyalty, and determination to achieve my team's target are the three important things in a job.  !@#@!  According to me, Professionalism, growth and a healthy work-life balance are the three important things in a job. "
What are your expectations from the company?, I have always wanted to work with an organization which provides a very comfortable and home like work environment. I would like to work in the company where I can get the opportunity to learn and enhance my skill to become a better professional in the future. 
"On a scale of one to ten, rate me as an interviewer?"," Sir, I'm not in the position to rate you as an interviewer. Anyway, I'm not going to disappoint you. As an interviewer you've fulfilled your job, So, I can give you 10 out of 10. But I'll give you 9/10 as there should always be a scope to increase our skills which will create an interest in learning the things. Thank you very much for giving me this wonderful opportunity.  !@#@!  Thank you for giving me such an opportunity, but for sure I am not the person to rate you. As it is obvious that your position is highly reputed and you have been chosen to undergo this process that shows your excellence at this place, but still I have to answer this question so honestly, it would be 9/10 as no one is perfect and we always leave room for improvement. "
Who is your role model? What have you incorporated into your life from him/her?," The role model of my life is my mother. Whenever I am down my mother helps me to push my limits, and she always keeps me on the track. She was scolding me whenever I do something wrong. She is everything for me, I still got inspired from her, how she manages every problem in every situation. "
